x                   u                   v                   e
0                   0                   0                   0
0.00099900          0.00894132          0.00894125         -5.08005157
0.00199800          0.01778383          0.01778368         -5.08005157
0.00299700          0.02652851          0.02652829         -5.08005157
0.00399600          0.03517634          0.03517605         -5.08005157
0.00499500          0.04372828          0.04372792         -5.08005157
0.00599401          0.05218528          0.05218485         -5.08005157
0.00699301          0.06054829          0.06054778         -5.08005157
0.00799201          0.06881823          0.06881766         -5.08005157
0.00899101          0.07699604          0.07699540         -5.08005157
0.00999001          0.08508263          0.08508192         -5.08005157
0.01098901          0.09307890          0.09307813         -5.08005157
0.01198801          0.10098577          0.10098493         -5.08005157
0.01298701          0.10880410          0.10880320         -5.08005157
0.01398601          0.11653479          0.11653382         -5.08005157
0.01498501          0.12417870          0.12417767         -5.08005157
0.01598402          0.13173670          0.13173561         -5.08005157
0.01698302          0.13920965          0.13920849         -5.08005157
0.01798202          0.14659838          0.14659716         -5.08005157
0.01898102          0.15390373          0.15390245         -5.08005157
0.01998002          0.16112654          0.16112520         -5.08005157
0.02097902          0.16826762          0.16826622         -5.08005157
0.02197802          0.17532778          0.17532632         -5.08005157
0.02297702          0.18230784          0.18230632         -5.08005157
0.02397602          0.18920858          0.18920701         -5.08005157
0.02497502          0.19603080          0.19602917         -5.08005157
0.02597403          0.20277527          0.20277358         -5.08005157
0.02697303          0.20944277          0.20944103         -5.08005157
0.02797203          0.21603406          0.21603227         -5.08005157
0.02897103          0.22254991          0.22254806         -5.08005157
0.02997003          0.22899105          0.22898915         -5.08005157
0.03096903          0.23535824          0.23535628         -5.08005157
0.03196803          0.24165221          0.24165020         -5.08005157
0.03296703          0.24787368          0.24787162         -5.08005157
0.03396603          0.25402338          0.25402127         -5.08005157
0.03496503          0.26010203          0.26009986         -5.08005157
0.03596404          0.26611031          0.26610810         -5.08005157
0.03696304          0.27204895          0.27204668         -5.08005157
0.03796204          0.27791862          0.27791631         -5.08005157
0.03896104          0.28372002          0.28371766         -5.08005157
0.03996004          0.28945381          0.28945141         -5.08005157
0.04095904          0.29512069          0.29511823         -5.08005157
0.04195804          0.30072130          0.30071880         -5.08005157
0.04295704          0.30625631          0.30625377         -5.08005157
0.04395604          0.31172638          0.31172378         -5.08005157
0.04495504          0.31713213          0.31712950         -5.08005157
0.04595405          0.32247423          0.32247155         -5.08005157
0.04695305          0.32775329          0.32775056         -5.08005157
0.04795205          0.33296995          0.33296718         -5.08005157
0.04895105          0.33812482          0.33812201         -5.08005157
0.04995005          0.34321852          0.34321567         -5.08005157
0.05094905          0.34825166          0.34824876         -5.08005157
0.05194805          0.35322484          0.35322190         -5.08005157
0.05294705          0.35813865          0.35813567         -5.08005157
0.05394605          0.36299369          0.36299067         -5.08005157
0.05494505          0.36779054          0.36778748         -5.08005157
0.05594406          0.37252977          0.37252667         -5.08005157
0.05694306          0.37721197          0.37720883         -5.08005157
0.05794206          0.38183770          0.38183452         -5.08005157
0.05894106          0.38640751          0.38640430         -5.08005157
0.05994006          0.39092197          0.39091872         -5.08005157
0.06093906          0.39538162          0.39537833         -5.08005157
0.06193806          0.39978702          0.39978369         -5.08005157
0.06293706          0.40413869          0.40413533         -5.08005157
0.06393606          0.40843718          0.40843378         -5.08005157
0.06493506          0.41268301          0.41267957         -5.08005157
0.06593407          0.41687670          0.41687323         -5.08005157
0.06693307          0.42101878          0.42101528         -5.08005157
0.06793207          0.42510975          0.42510622         -5.08005157
0.06893107          0.42915013          0.42914656         -5.08005157
0.06993007          0.43314042          0.43313681         -5.08005157
0.07092907          0.43708111          0.43707747         -5.08005157
0.07192807          0.44097270          0.44096903         -5.08005157
0.07292707          0.44481568          0.44481198         -5.08005157
0.07392607          0.44861052          0.44860679         -5.08005157
0.07492507          0.45235772          0.45235396         -5.08005157
0.07592408          0.45605774          0.45605394         -5.08005157
0.07692308          0.45971105          0.45970722         -5.08005157
0.07792208          0.46331811          0.46331426         -5.08005157
0.07892108          0.46687939          0.46687551         -5.08005157
0.07992008          0.47039534          0.47039142         -5.08005157
0.08091908          0.47386641          0.47386246         -5.08005157
0.08191808          0.47729304          0.47728907         -5.08005157
0.08291708          0.48067569          0.48067169         -5.08005157
0.08391608          0.48401478          0.48401075         -5.08005157
0.08491508          0.48731074          0.48730669         -5.08005157
0.08591409          0.49056402          0.49055994         -5.08005157
0.08691309          0.49377503          0.49377092         -5.08005157
0.08791209          0.49694419          0.49694005         -5.08005157
0.08891109          0.50007191          0.50006776         -5.08005157
0.08991009          0.50315862          0.50315444         -5.08005157
0.09090909          0.50620471          0.50620050         -5.08005157
0.09190809          0.50921060          0.50920637         -5.08005157
0.09290709          0.51217668          0.51217242         -5.08005157
0.09390609          0.51510334          0.51509905         -5.08005157
0.09490509          0.51799098          0.51798667         -5.08005157
0.09590410          0.52083999          0.52083565         -5.08005157
0.09690310          0.52365074          0.52364639         -5.08005157
0.09790210          0.52642363          0.52641925         -5.08005157
0.09890110          0.52915902          0.52915462         -5.08005157
0.09990010          0.53185730          0.53185288         -5.08005157
0.10089910          0.53451882          0.53451438         -5.08005157
0.10189810          0.53714396          0.53713949         -5.08005157
0.10289710          0.53973307          0.53972858         -5.08005157
0.10389610          0.54228651          0.54228200         -5.08005157
0.10489510          0.54480465          0.54480012         -5.08005157
0.10589411          0.54728782          0.54728327         -5.08005157
0.10689311          0.54973638          0.54973181         -5.08005157
0.10789211          0.55215067          0.55214608         -5.08005157
