rho                   u
0.00000000                   0
0.00497512          0.00467555
0.00995025          0.00934083
0.01492537          0.01398557
0.01990050          0.01859956
0.02487562          0.02317268
0.02985075          0.02769485
0.03482587          0.03215614
0.03980100          0.03654675
0.04477612          0.04085702
0.04975124          0.04507748
0.05472637          0.04919885
0.05970149          0.05321206
0.06467662          0.05710831
0.06965174          0.06087902
0.07462687          0.06451590
0.07960199          0.06801097
0.08457711          0.07135653
0.08955224          0.07454523
0.09452736          0.07757007
0.09950249          0.08042439
0.10447761          0.08310192
0.10945274          0.08559678
0.11442786          0.08790347
0.11940299          0.09001694
0.12437811          0.09193253
0.12935323          0.09364603
0.13432836          0.09515367
0.13930348          0.09645215
0.14427861          0.09753860
0.14925373          0.09841065
0.15422886          0.09906636
0.15920398          0.09950431
0.16417910          0.09972352
0.16915423          0.09972352
0.17412935          0.09950431
0.17910448          0.09906636
0.18407960          0.09841065
0.18905473          0.09753860
0.19402985          0.09645215
0.19900498          0.09515367
0.20398010          0.09364603
0.20895522          0.09193253
0.21393035          0.09001694
0.21890547          0.08790347
0.22388060          0.08559678
0.22885572          0.08310192
0.23383085          0.08042439
0.23880597          0.07757007
0.24378109          0.07454523
0.24875622          0.07135653
0.25373134          0.06801097
0.25870647          0.06451590
0.26368159          0.06087902
0.26865672          0.05710831
0.27363184          0.05321206
0.27860697          0.04919885
0.28358209          0.04507748
0.28855721          0.04085702
0.29353234          0.03654675
0.29850746          0.03215614
0.30348259          0.02769485
0.30845771          0.02317268
0.31343284          0.01859956
0.31840796          0.01398557
0.32338308          0.00934083
0.32835821          0.00467555
0.33333333         -0.00000000
0.33830846         -0.00467555
0.34328358         -0.00934083
0.34825871         -0.01398557
0.35323383         -0.01859956
0.35820896         -0.02317268
0.36318408         -0.02769485
0.36815920         -0.03215614
0.37313433         -0.03654675
0.37810945         -0.04085702
0.38308458         -0.04507748
0.38805970         -0.04919885
0.39303483         -0.05321206
0.39800995         -0.05710831
0.40298507         -0.06087902
0.40796020         -0.06451590
0.41293532         -0.06801097
0.41791045         -0.07135653
0.42288557         -0.07454523
0.42786070         -0.07757007
0.43283582         -0.08042439
0.43781095         -0.08310192
0.44278607         -0.08559678
0.44776119         -0.08790347
0.45273632         -0.09001694
0.45771144         -0.09193253
0.46268657         -0.09364603
0.46766169         -0.09515367
0.47263682         -0.09645215
0.47761194         -0.09753860
0.48258706         -0.09841065
0.48756219         -0.09906636
0.49253731         -0.09950431
0.49751244         -0.09972352
0.50248756         -0.09972352
0.50746269         -0.09950431
0.51243781         -0.09906636
0.51741294         -0.09841065
0.52238806         -0.09753860
0.52736318         -0.09645215
0.53233831         -0.09515367
0.53731343         -0.09364603
0.54228856         -0.09193253
0.54726368         -0.09001694
0.55223881         -0.08790347
0.55721393         -0.08559678
0.56218905         -0.08310192
0.56716418         -0.08042439
0.57213930         -0.07757007
0.57711443         -0.07454523
0.58208955         -0.07135653
0.58706468         -0.06801097
0.59203980         -0.06451590
0.59701493         -0.06087902
0.60199005         -0.05710831
0.60696517         -0.05321206
0.61194030         -0.04919885
0.61691542         -0.04507748
0.62189055         -0.04085702
0.62686567         -0.03654675
0.63184080         -0.03215614
0.63681592         -0.02769485
0.64179104         -0.02317268
0.64676617         -0.01859956
0.65174129         -0.01398557
0.65671642         -0.00934083
0.66169154         -0.00467555
0.66666667         -0.00000000
0.67164179          0.00467555
0.67661692          0.00934083
0.68159204          0.01398557
0.68656716          0.01859956
0.69154229          0.02317268
0.69651741          0.02769485
0.70149254          0.03215614
0.70646766          0.03654675
0.71144279          0.04085702
0.71641791          0.04507748
0.72139303          0.04919885
0.72636816          0.05321206
0.73134328          0.05710831
0.73631841          0.06087902
0.74129353          0.06451590
0.74626866          0.06801097
0.75124378          0.07135653
0.75621891          0.07454523
0.76119403          0.07757007
0.76616915          0.08042439
0.77114428          0.08310192
0.77611940          0.08559678
0.78109453          0.08790347
0.78606965          0.09001694
0.79104478          0.09193253
0.79601990          0.09364603
0.80099502          0.09515367
0.80597015          0.09645215
0.81094527          0.09753860
0.81592040          0.09841065
0.82089552          0.09906636
0.82587065          0.09950431
0.83084577          0.09972352
0.83582090          0.09972352
0.84079602          0.09950431
0.84577114          0.09906636
0.85074627          0.09841065
0.85572139          0.09753860
0.86069652          0.09645215
0.86567164          0.09515367
0.87064677          0.09364603
0.87562189          0.09193253
0.88059701          0.09001694
0.88557214          0.08790347
0.89054726          0.08559678
0.89552239          0.08310192
0.90049751          0.08042439
0.90547264          0.07757007
0.91044776          0.07454523
0.91542289          0.07135653
0.92039801          0.06801097
0.92537313          0.06451590
0.93034826          0.06087902
0.93532338          0.05710831
0.94029851          0.05321206
0.94527363          0.04919885
0.95024876          0.04507748
0.95522388          0.04085702
0.96019900          0.03654675
0.96517413          0.03215614
0.97014925          0.02769485
0.97512438          0.02317268
0.98009950          0.01859956
0.98507463          0.01398557
0.99004975          0.00934083
0.99502488          0.00467555
1.00000000                   0
