rho                   u
0.00000000                   0
0.02487562          0.00072467
0.04975124          0.00146699
0.07462687          0.00222680
0.09950249          0.00300391
0.12437811          0.00379813
0.14925373          0.00460928
0.17412935          0.00543714
0.19900498          0.00628150
0.22388060          0.00714211
0.24875622          0.00801876
0.27363184          0.00891117
0.29850746          0.00981911
0.32338308          0.01074229
0.34825871          0.01168043
0.37313433          0.01263326
0.39800995          0.01360046
0.42288557          0.01458173
0.44776119          0.01557675
0.47263682          0.01658520
0.49751244          0.01760673
0.52238806          0.01864100
0.54726368          0.01968766
0.57213930          0.02074633
0.59701493          0.02181665
0.62189055          0.02289823
0.64676617          0.02399069
0.67164179          0.02509361
0.69651741          0.02620661
0.72139303          0.02732925
0.74626866          0.02846111
0.77114428          0.02960177
0.79601990          0.03075079
0.82089552          0.03190771
0.84577114          0.03307208
0.87064677          0.03424345
0.89552239          0.03542134
0.92039801          0.03660529
0.94527363          0.03779480
0.97014925          0.03898939
0.99502488          0.04018856
1.01990050          0.04139183
1.04477612          0.04259868
1.06965174          0.04380859
1.09452736          0.04502107
1.11940299          0.04623557
1.14427861          0.04745159
1.16915423          0.04866858
1.19402985          0.04988602
1.21890547          0.05110336
1.24378109          0.05232006
1.26865672          0.05353558
1.29353234          0.05474936
1.31840796          0.05596085
1.34328358          0.05716951
1.36815920          0.05837476
1.39303483          0.05957605
1.41791045          0.06077282
1.44278607          0.06196451
1.46766169          0.06315053
1.49253731          0.06433034
1.51741294          0.06550336
1.54228856          0.06666903
1.56716418          0.06782677
1.59203980          0.06897601
1.61691542          0.07011619
1.64179104          0.07124673
1.66666667          0.07236708
1.69154229          0.07347665
1.71641791          0.07457490
1.74129353          0.07566124
1.76616915          0.07673512
1.79104478          0.07779598
1.81592040          0.07884326
1.84079602          0.07987641
1.86567164          0.08089487
1.89054726          0.08189809
1.91542289          0.08288553
1.94029851          0.08385664
1.96517413          0.08481089
1.99004975          0.08574774
2.01492537          0.08666666
2.03980100          0.08756713
2.06467662          0.08844864
2.08955224          0.08931066
2.11442786          0.09015269
2.13930348          0.09097422
2.16417910          0.09177477
2.18905473          0.09255384
2.21393035          0.09331095
2.23880597          0.09404562
2.26368159          0.09475738
2.28855721          0.09544579
2.31343284          0.09611037
2.33830846          0.09675069
2.36318408          0.09736632
2.38805970          0.09795682
2.41293532          0.09852177
2.43781095          0.09906077
2.46268657          0.09957341
2.48756219          0.10005931
2.51243781          0.10051808
2.53731343          0.10094935
2.56218905          0.10135277
2.58706468          0.10172797
2.61194030          0.10207462
2.63681592          0.10239240
2.66169154          0.10268098
2.68656716          0.10294005
2.71144279          0.10316933
2.73631841          0.10336852
2.76119403          0.10353736
2.78606965          0.10367559
2.81094527          0.10378296
2.83582090          0.10385923
2.86069652          0.10390418
2.88557214          0.10391761
2.91044776          0.10389930
2.93532338          0.10384910
2.96019900          0.10376681
2.98507463          0.10365228
3.00995025          0.10350537
3.03482587          0.10332595
3.05970149          0.10311391
3.08457711          0.10286913
3.10945274          0.10259153
3.13432836          0.10228103
3.15920398          0.10193758
3.18407960          0.10156113
3.20895522          0.10115164
3.23383085          0.10070909
3.25870647          0.10023349
3.28358209          0.09972484
3.30845771          0.09918316
3.33333333          0.09860851
3.35820896          0.09800093
3.38308458          0.09736049
3.40796020          0.09668727
3.43283582          0.09598138
3.45771144          0.09524292
3.48258706          0.09447203
3.50746269          0.09366885
3.53233831          0.09283353
3.55721393          0.09196625
3.58208955          0.09106720
3.60696517          0.09013657
3.63184080          0.08917459
3.65671642          0.08818147
3.68159204          0.08715748
3.70646766          0.08610287
3.73134328          0.08501790
3.75621891          0.08390288
3.78109453          0.08275811
3.80597015          0.08158389
3.83084577          0.08038058
3.85572139          0.07914849
3.88059701          0.07788801
3.90547264          0.07659950
3.93034826          0.07528335
3.95522388          0.07393995
3.98009950          0.07256973
4.00497512          0.07117311
4.02985075          0.06975052
4.05472637          0.06830243
4.07960199          0.06682930
4.10447761          0.06533160
4.12935323          0.06380984
4.15422886          0.06226451
4.17910448          0.06069612
4.20398010          0.05910521
4.22885572          0.05749232
4.25373134          0.05585799
4.27860697          0.05420279
4.30348259          0.05252729
4.32835821          0.05083207
4.35323383          0.04911774
4.37810945          0.04738489
4.40298507          0.04563415
4.42786070          0.04386613
4.45273632          0.04208148
4.47761194          0.04028083
4.50248756          0.03846484
4.52736318          0.03663417
4.55223881          0.03478950
4.57711443          0.03293151
4.60199005          0.03106087
4.62686567          0.02917829
4.65174129          0.02728448
4.67661692          0.02538014
4.70149254          0.02346598
4.72636816          0.02154274
4.75124378          0.01961114
4.77611940          0.01767191
4.80099502          0.01572581
4.82587065          0.01377358
4.85074627          0.01181597
4.87562189          0.00985373
4.90049751          0.00788764
4.92537313          0.00591844
4.95024876          0.00394692
4.97512438          0.00197385
5.00000000                   0
