rho                   u
0.00000000                   0
0.02487562          0.00403307
0.04975124          0.00815634
0.07462687          0.01236059
0.09950249          0.01663633
0.12437811          0.02097387
0.14925373          0.02536329
0.17412935          0.02979454
0.19900498          0.03425741
0.22388060          0.03874162
0.24875622          0.04323685
0.27363184          0.04773272
0.29850746          0.05221889
0.32338308          0.05668508
0.34825871          0.06112108
0.37313433          0.06551679
0.39800995          0.06986230
0.42288557          0.07414785
0.44776119          0.07836394
0.47263682          0.08250128
0.49751244          0.08655089
0.52238806          0.09050409
0.54726368          0.09435253
0.57213930          0.09808824
0.59701493          0.10170361
0.62189055          0.10519147
0.64676617          0.10854505
0.67164179          0.11175803
0.69651741          0.11482456
0.72139303          0.11773926
0.74626866          0.12049725
0.77114428          0.12309412
0.79601990          0.12552599
0.82089552          0.12778947
0.84577114          0.12988171
0.87064677          0.13180035
0.89552239          0.13354355
0.92039801          0.13510999
0.94527363          0.13649885
0.97014925          0.13770980
0.99502488          0.13874302
1.01990050          0.13959916
1.04477612          0.14027933
1.06965174          0.14078512
1.09452736          0.14111854
1.11940299          0.14128201
1.14427861          0.14127840
1.16915423          0.14111092
1.19402985          0.14078317
1.21890547          0.14029910
1.24378109          0.13966296
1.26865672          0.13887933
1.29353234          0.13795305
1.31840796          0.13688921
1.34328358          0.13569314
1.36815920          0.13437039
1.39303483          0.13292666
1.41791045          0.13136783
1.44278607          0.12969992
1.46766169          0.12792905
1.49253731          0.12606141
1.51741294          0.12410329
1.54228856          0.12206099
1.56716418          0.11994084
1.59203980          0.11774918
1.61691542          0.11549231
1.64179104          0.11317650
1.66666667          0.11080794
1.69154229          0.10839277
1.71641791          0.10593700
1.74129353          0.10344656
1.76616915          0.10092723
1.79104478          0.09838466
1.81592040          0.09582434
1.84079602          0.09325160
1.86567164          0.09067160
1.89054726          0.08808930
1.91542289          0.08550948
1.94029851          0.08293671
1.96517413          0.08037536
1.99004975          0.07782958
2.01492537          0.07530331
2.03980100          0.07280027
2.06467662          0.07032396
2.08955224          0.06787766
2.11442786          0.06546442
2.13930348          0.06308707
2.16417910          0.06074823
2.18905473          0.05845029
2.21393035          0.05619543
2.23880597          0.05398562
2.26368159          0.05182262
2.28855721          0.04970799
2.31343284          0.04764309
2.33830846          0.04562910
2.36318408          0.04366698
2.38805970          0.04175757
2.41293532          0.03990148
2.43781095          0.03809920
2.46268657          0.03635103
2.48756219          0.03465714
2.51243781          0.03301756
2.53731343          0.03143218
2.56218905          0.02990076
2.58706468          0.02842295
2.61194030          0.02699829
2.63681592          0.02562621
2.66169154          0.02430605
2.68656716          0.02303707
2.71144279          0.02181844
2.73631841          0.02064927
2.76119403          0.01952859
2.78606965          0.01845539
2.81094527          0.01742859
2.83582090          0.01644708
2.86069652          0.01550971
2.88557214          0.01461530
2.91044776          0.01376262
2.93532338          0.01295045
2.96019900          0.01217755
2.98507463          0.01144264
3.00995025          0.01074447
3.03482587          0.01008176
3.05970149          0.00945326
3.08457711          0.00885769
3.10945274          0.00829381
3.13432836          0.00776037
3.15920398          0.00725616
3.18407960          0.00677997
3.20895522          0.00633060
3.23383085          0.00590690
3.25870647          0.00550772
3.28358209          0.00513195
3.30845771          0.00477850
3.33333333          0.00444632
3.35820896          0.00413436
3.38308458          0.00384164
3.40796020          0.00356718
3.43283582          0.00331005
3.45771144          0.00306934
3.48258706          0.00284418
3.50746269          0.00263373
3.53233831          0.00243718
3.55721393          0.00225376
3.58208955          0.00208272
3.60696517          0.00192335
3.63184080          0.00177496
3.65671642          0.00163690
3.68159204          0.00150855
3.70646766          0.00138932
3.73134328          0.00127865
3.75621891          0.00117600
3.78109453          0.00108085
3.80597015          0.00099273
3.83084577          0.00091117
3.85572139          0.00083575
3.88059701          0.00076605
3.90547264          0.00070169
3.93034826          0.00064230
3.95522388          0.00058754
3.98009950          0.00053709
4.00497512          0.00049063
4.02985075          0.00044789
4.05472637          0.00040859
4.07960199          0.00037249
4.10447761          0.00033934
4.12935323          0.00030893
4.15422886          0.00028105
4.17910448          0.00025551
4.20398010          0.00023212
4.22885572          0.00021073
4.25373134          0.00019117
4.27860697          0.00017329
4.30348259          0.00015697
4.32835821          0.00014208
4.35323383          0.00012850
4.37810945          0.00011612
4.40298507          0.00010484
4.42786070          0.00009457
4.45273632          0.00008523
4.47761194          0.00007673
4.50248756          0.00006900
4.52736318          0.00006197
4.55223881          0.00005558
4.57711443          0.00004976
4.60199005          0.00004448
4.62686567          0.00003968
4.65174129          0.00003530
4.67661692          0.00003131
4.70149254          0.00002768
4.72636816          0.00002435
4.75124378          0.00002131
4.77611940          0.00001851
4.80099502          0.00001593
4.82587065          0.00001354
4.85074627          0.00001131
4.87562189          0.00000921
4.90049751          0.00000724
4.92537313          0.00000535
4.95024876          0.00000353
4.97512438          0.00000175
5.00000000                   0
